enroll-start;Подтвердите запись на конференцию %n?
main-start;vsem privet
dolbaeb;delbaeb?
invite-message;Вы приглашены на вибинар %n. Ссылка - %l
enroll-accept;"Отлично! Теперь вы зарегистрированы!
Наша конференция ""%name"" начнётся в %time по московскому времени %date. 

На ней мы разберем:
%description

Мы отправим вам упоминание о её начале сюда!
А пока подписывайтесь на основной канал:"
enroll-error;Конференция с таким номером не найдена
enroll-cancel;Регистрация была отменена
accept;Подтвердить
cancel;Отменить
meetings-list;Сейчас доступна запись на конференции:
